landing_page,query,impressions,clicks,position
/sleep/magnesium-bath,magnesium bath for sleep,1200,28,7.2
/sleep/magnesium-bath,best magnesium bath soak,900,15,8.1
/sleep/magnesium-bath,,300,4,7.8
/stress/relief,magnesium for stress,1500,75,4.8
/stress/relief,is magnesium safe for stress,600,18,6.4
/recovery/sore-muscles,magnesium soak for sore muscles,1000,20,11.2
/recovery/sore-muscles,epsom salt alternative,700,8,13.5
/products/magnesium-soak,buy magnesium bath soak,800,48,3.9
/products/magnesium-soak,magnesium bath soak price,500,35,4.3
/blog/magnesium-types,magnesium glycinate vs citrate,1800,22,9.7
/blog/magnesium-types,best magnesium type,1000,14,10.1
